x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000000000000000000100000000010	Meis1	Tbx20	N	Notch1,Gata1	9.93332	10.9374	3934	-1.00408	0	NA	NA	NA	NA
000100000000000001000000000000000	Ets2	Ldb1	N	NA	1.18619	2.22256	3934	-1.03637	0	NA	NA	NA	NA
000001000000000000010000000000000	Etv6	Lyl1	N	Fli1	4.73484	5.7729	3934	-1.03806	0	NA	NA	NA	NA
000000000000000000001000001000000	Mecom	Runx1	N	Gfi1b	4.80486	5.85348	3934	-1.04862	0	NA	NA	NA	NA
000000000000000000000000001010000	Runx1	Sox17	N	Gfi1b,Ikaros	8.61781	9.70802	3934	-1.09021	0	NA	NA	NA	NA
000000000000000000000100000001000	Meis1	Sox7	N	Notch1,Gata1	9.54414	10.6719	3934	-1.12776	0	NA	NA	NA	NA
000000000000000001000010000000000	Ldb1	Mitf	N	NA	1.92659	3.08441	3934	-1.15782	0	NA	NA	NA	NA
000000000010010000000000000000000	Gfi1	HoxB2	N	NA	1.22346	2.39195	3934	-1.16849	0	NA	NA	NA	NA
000000000000000000000000000010001	Sox17	Tbx3	N	Etv2,Hhex	10.0178	11.1991	3934	-1.1813	0	NA	NA	NA	NA
000100000000000000001000000000000	Ets2	Mecom	N	NA	1.51084	2.69366	3934	-1.18282	0	NA	NA	NA	NA
000000001000000000000000000000010	FoxO4	Tbx20	N	NA	1.73356	2.93856	3934	-1.205	0	NA	NA	NA	NA
000000000000010000000100000000000	HoxB2	Meis1	N	Etv2	2.80924	4.01497	3934	-1.20573	0	NA	NA	NA	NA
000001000000000001000000000000000	Etv6	Ldb1	N	Tal1	3.7568	4.97478	3934	-1.21798	0	NA	NA	NA	NA
000000000000000000001000000100000	Mecom	Sfpi1	N	HoxB4	5.21327	6.47866	3934	-1.26539	0	NA	NA	NA	NA
000010000000000100000000000000000	Etv2	HoxD8	N	Tbx3	2.76949	4.04387	3934	-1.27438	0	NA	NA	NA	NA
000001000000000000100000000000000	Etv6	Lmo2	N	Fli1,Ets1,Sox7	14.4302	15.7108	3934	-1.2806	0	NA	NA	NA	NA
000000000000000000000000000101000	Sfpi1	Sox7	N	Erg	4.91618	6.2049	3934	-1.28872	0	NA	NA	NA	NA
010000001000000000000000000000000	Erg	FoxO4	N	NA	1.63415	2.93105	3934	-1.2969	0	NA	NA	NA	NA
001000000000000000000000000000001	Ets1	Tbx3	N	Etv2	4.98201	6.28666	3934	-1.30465	0	NA	NA	NA	NA
000000000000000100000000000000010	HoxD8	Tbx20	N	NA	1.33096	2.65069	3934	-1.31973	0	NA	NA	NA	NA
101000000000000000000000000000000	Cbfa2t3h	Ets1	N	Tal1	4.54959	5.87518	3934	-1.32559	0	NA	NA	NA	NA
000001001000000000000000000000000	Etv6	FoxO4	N	NA	1.30822	2.6373	3934	-1.32908	0	NA	NA	NA	NA
000000000000000001000000000000010	Ldb1	Tbx20	N	NA	1.81615	3.14694	3934	-1.33079	0	NA	NA	NA	NA
000001000000000010000000000000000	Etv6	Ikaros	N	Sfpi1	4.49322	5.85016	3934	-1.35694	0	NA	NA	NA	NA
000001000000000100000000000000000	Etv6	HoxD8	N	NA	0.986509	2.34943	3934	-1.362921	0	NA	NA	NA	NA
000000000000000000001001000000000	Mecom	Myb	N	Gata1	4.79509	6.15954	3934	-1.36445	0	NA	NA	NA	NA
000000000000000000000010001000000	Mitf	Runx1	N	Nfe2	4.60111	6.0199	3934	-1.41879	0	NA	NA	NA	NA
000001000000010000000000000000000	Etv6	HoxB2	N	NA	0.90418	2.33093	3934	-1.42675	0	NA	NA	NA	NA
010000000000000000000000001000000	Erg	Runx1	N	NA	2.115	3.56601	3934	-1.45101	0	NA	NA	NA	NA
100000000000000000100000000000000	Cbfa2t3h	Lmo2	N	Tal1,Erg	7.58066	9.03534	3934	-1.45468	0	NA	NA	NA	NA
000000010000000000001000000000000	FoxH1	Mecom	N	NA	1.5338	3.02442	3934	-1.49062	0	NA	NA	NA	NA
000010000000000000000000001000000	Etv2	Runx1	N	Gata1,Gfi1,Gfi1b	12.2648	13.7741	3934	-1.5093	0	NA	NA	NA	NA
